sample_id,m,batch_mode,batch_size,repetition,status,error,num_clusters,num_representatives,original_prompt_tokens,total_candidate_input_tokens,total_candidate_output_tokens,final_prompt_tokens,base_llm_input_tokens,base_llm_output_tokens,candidate_generation_ms,embedding_ms,clustering_ms,representative_selection_ms,consensus_scoring_ms,prompt_optimization_ms,base_llm_generation_ms,total_prism_ms,end_to_end_ms,optimizer_model_load_ms,embedding_model_load_ms,base_llm_model_load_ms,total_model_load_ms,candidate_generation_ms_per_output_token,base_llm_generation_ms_per_output_token,response_empty
0,1,full,1,1,ok,,1,1,15,48,179,178,614,324,6937.773865065537,7.774760015308857,0.008029048331081867,0.005448935553431511,0.005534035153687,6945.567637099884,12783.56674790848,19729.134385008365,34039.299491094425,4314.582848921418,5804.210433969274,3770.738618914038,13889.53190180473,38.75851321265663,39.455452925643456,0
1,1,full,1,1,ok,,1,1,11,44,223,222,583,423,8685.369790997356,8.917266968637705,0.007950002327561378,0.004773959517478943,0.0046729110181331635,8694.304454838857,17207.13114796672,25901.435602805577,40387.48385000508,3832.7934480039403,6458.782847970724,3786.5977491019294,14078.174045076594,38.9478465964007,40.67879704011045,0
2,1,full,1,1,ok,,1,1,13,46,163,162,1065,466,6418.715851032175,9.716078988276422,0.00787700992077589,0.005536014214158058,0.00459898728877306,6428.449942031875,19409.31378607638,25837.763728108257,39535.763421910815,3832.2745689656585,5690.091463038698,3760.3056950028986,13282.671727007255,39.37862485295813,41.65088795295361,0
3,1,full,1,1,ok,,1,1,15,48,512,511,548,461,19571.258035022765,8.58088897075504,0.007609021849930286,0.004940084181725979,0.004220055416226387,19579.85569315497,18140.36182698328,37720.21752013825,51776.39107394498,3856.6889700014144,6034.8780929343775,3743.6371620278805,13635.204224963672,38.22511334965384,39.350025655061344,0
4,1,full,1,1,ok,,1,1,13,46,240,239,277,140,9118.20855003316,9.203264024108648,0.007950933650135994,0.00485801137983799,0.004205969162285328,9127.42882897146,5636.671015992761,14764.099844964221,28793.704392039217,3905.9087530476972,5873.450421961024,3843.680105987005,13623.039280995727,37.99253562513817,40.26193582851972,0
0,5,full,5,1,ok,,5,5,15,240,1106,232,668,395,9416.584277059883,12.382374028675258,20.35675896331668,0.006124028004705906,3.100287984125316,9452.429822064005,15650.925706955604,25103.35552901961,39669.52102200594,3810.982262948528,6590.035638073459,3757.346322061494,14158.364223083481,8.514090666419424,39.62259672646989,0
1,5,full,5,1,ok,,5,5,11,220,1515,222,583,423,15760.311504011042,8.578815963119268,0.5451500182971358,0.005841022357344627,0.5991020007058978,15770.040413015522,16740.328163956292,32510.368576971814,46489.69381302595,3811.518828966655,6021.24003903009,3709.7661250736564,13542.524993070401,10.402845877235011,39.5752438864215,0
2,5,full,5,1,ok,,5,5,13,230,1113,162,1065,466,13361.127736978233,10.754143935628235,0.567093025892973,0.006134039722383022,0.6385950837284327,13373.093703063205,19137.837441987358,32510.931145050563,47672.58658609353,3785.237862030044,7125.927663058974,3829.209076007828,14740.374601096846,12.004607131157442,41.06832069095999,0
3,5,full,5,1,ok,,5,5,15,240,2136,511,548,461,21096.800848958082,7.508919923566282,0.5710010882467031,0.007012044079601765,0.36916392855346203,21105.25694594253,17892.44853600394,38997.70548194647,52872.172533068806,3818.483593990095,5819.611825980246,3751.698327017948,13389.793746988289,9.876779423669515,38.8122527895964,0
4,5,full,5,1,ok,,5,5,13,230,963,248,286,112,9635.056996019557,11.022747028619051,0.5278760800138116,0.005989917553961277,4.09227900672704,9650.705888052471,4388.037680997513,14038.743569049984,28172.65054595191,4064.5773289725184,5870.0856670038775,3803.3623669762164,13738.025362952612,10.005251293893622,39.17890786604922,0
0,10,full,10,1,ok,,9,9,15,480,2237,226,662,412,12735.317741986364,17.689376953057945,0.5861769896000624,10.768866050057113,1.2628210242837667,12765.624983003363,16409.895928925835,29175.520911929198,43323.339984053746,3807.404257939197,6165.774042950943,3737.5821239547804,13710.76042484492,5.693034305760556,39.82984448768406,0
1,10,full,10,1,ok,,10,10,11,440,3098,370,730,389,21224.4779310422,15.912935021333396,0.5848819855600595,0.0067159999161958694,0.65565702971071,21241.638121078722,15469.766695052385,36711.40481613111,50487.209838000126,3801.6683399910107,5790.685842977837,3728.2564329216257,13320.610615890473,6.851025800852874,39.768037776484285,0
2,10,full,10,1,ok,,10,10,13,460,1908,162,1065,466,14899.521048995666,19.387107924558222,0.5551079520955682,0.006573973223567009,3.0767059652134776,14922.546544810757,19629.898666986264,34552.44521179702,48519.00010800455,3803.02189104259,5944.034276995808,3739.11608196795,13486.172250006348,7.808973296119322,42.12424606649413,0
3,10,full,10,1,ok,,10,10,15,480,4166,511,548,461,25103.803087957203,15.997451962903142,0.5485229194164276,0.006268033757805824,0.6320070242509246,25120.98733789753,18150.22929897532,43271.21663687285,57195.06794097833,3788.330112933181,5927.322304109111,3745.3576809493825,13461.010097991675,6.025876881410754,39.371430149621084,0
4,10,full,10,1,ok,,10,10,13,460,1781,239,277,140,11462.117415037937,17.310693045146763,0.6378709804266691,0.006568967364728451,0.7071050349622965,11480.779653065838,5549.316770979203,17030.09642404504,31130.908667924814,3881.2901249621063,6064.255148055963,3691.401215037331,13636.9464880554,6.435776201593452,39.63797693556574,0
