comparison,seed,judge_run,num_win,num_tie,num_loss,win_ratio,tie_ratio,loss_ratio,pref,delta_wr
PRISM_BPO_vs_BPO_gemma_bpo_deepseek,,1,65,95,40,0.325,0.475,0.2,0.5625,0.125
PRISM_BPO_vs_BPO_gemma_bpo_deepseek,,2,67,90,43,0.335,0.45,0.215,0.56,0.12000000000000002
PRISM_BPO_vs_BPO_gemma_bpo_deepseek,,3,70,88,42,0.35,0.44,0.21,0.57,0.13999999999999999
PRISM_BPO_vs_BPO_gemma_dolly_deepseek,,1,60,98,42,0.3,0.49,0.21,0.5449999999999999,0.09
PRISM_BPO_vs_BPO_gemma_dolly_deepseek,,2,58,99,43,0.29,0.495,0.215,0.5375,0.07499999999999998
PRISM_BPO_vs_BPO_gemma_dolly_deepseek,,3,59,100,41,0.295,0.5,0.205,0.5449999999999999,0.09
PRISM_BPO_vs_BPO_gemma_self_deepseek,,1,87,105,60,0.34523809523809523,0.4166666666666667,0.23809523809523808,0.5535714285714286,0.10714285714285715
PRISM_BPO_vs_BPO_gemma_self_deepseek,,2,85,111,56,0.3373015873015873,0.44047619047619047,0.2222222222222222,0.5575396825396826,0.11507936507936511
PRISM_BPO_vs_BPO_gemma_self_deepseek,,3,84,112,56,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.5555555555555556,0.1111111111111111
PRISM_BPO_vs_BPO_gemma_vicuna_deepseek,,1,24,44,12,0.3,0.55,0.15,0.575,0.15
PRISM_BPO_vs_BPO_gemma_vicuna_deepseek,,2,26,42,12,0.325,0.525,0.15,0.5875,0.17500000000000002
PRISM_BPO_vs_BPO_gemma_vicuna_deepseek,,3,26,43,11,0.325,0.5375,0.1375,0.59375,0.1875
PRISM_BPO_vs_BPO_llama_bpo_deepseek,,1,69,73,58,0.345,0.365,0.29,0.5275,0.05499999999999999
PRISM_BPO_vs_BPO_llama_bpo_deepseek,,2,68,74,58,0.34,0.37,0.29,0.525,0.050000000000000044
PRISM_BPO_vs_BPO_llama_bpo_deepseek,,3,68,71,61,0.34,0.355,0.305,0.5175000000000001,0.03500000000000003
PRISM_BPO_vs_BPO_llama_dolly_deepseek,,1,63,84,53,0.315,0.42,0.265,0.525,0.04999999999999999
PRISM_BPO_vs_BPO_llama_dolly_deepseek,,2,63,87,50,0.315,0.435,0.25,0.5325,0.065
PRISM_BPO_vs_BPO_llama_dolly_deepseek,,3,58,91,51,0.29,0.455,0.255,0.5175,0.034999999999999976
PRISM_BPO_vs_BPO_llama_self_deepseek,,1,95,85,72,0.376984126984127,0.3373015873015873,0.2857142857142857,0.5456349206349207,0.09126984126984128
PRISM_BPO_vs_BPO_llama_self_deepseek,,2,98,83,71,0.3888888888888889,0.32936507936507936,0.28174603174603174,0.5535714285714286,0.10714285714285715
PRISM_BPO_vs_BPO_llama_self_deepseek,,3,100,80,72,0.3968253968253968,0.31746031746031744,0.2857142857142857,0.5555555555555556,0.1111111111111111
PRISM_BPO_vs_BPO_llama_vicuna_deepseek,,1,26,28,26,0.325,0.35,0.325,0.5,0.0
PRISM_BPO_vs_BPO_llama_vicuna_deepseek,,2,24,31,25,0.3,0.3875,0.3125,0.49375,-0.012500000000000011
PRISM_BPO_vs_BPO_llama_vicuna_deepseek,,3,25,30,25,0.3125,0.375,0.3125,0.5,0.0
PRISM_BPO_vs_BPO_vicuna_bpo_deepseek,,1,68,68,64,0.34,0.34,0.32,0.51,0.020000000000000018
PRISM_BPO_vs_BPO_vicuna_bpo_deepseek,,2,72,65,63,0.36,0.325,0.315,0.5225,0.044999999999999984
PRISM_BPO_vs_BPO_vicuna_bpo_deepseek,,3,71,66,63,0.355,0.33,0.315,0.52,0.03999999999999998
PRISM_BPO_vs_BPO_vicuna_dolly_deepseek,,1,69,92,39,0.345,0.46,0.195,0.575,0.14999999999999997
PRISM_BPO_vs_BPO_vicuna_dolly_deepseek,,2,68,91,41,0.34,0.455,0.205,0.5675,0.13500000000000004
PRISM_BPO_vs_BPO_vicuna_dolly_deepseek,,3,69,89,42,0.345,0.445,0.21,0.5675,0.13499999999999998
PRISM_BPO_vs_BPO_vicuna_self_deepseek,,1,79,93,80,0.3134920634920635,0.36904761904761907,0.31746031746031744,0.498015873015873,-0.003968253968253954
PRISM_BPO_vs_BPO_vicuna_self_deepseek,,2,82,97,73,0.3253968253968254,0.38492063492063494,0.2896825396825397,0.5178571428571429,0.0357142857142857
PRISM_BPO_vs_BPO_vicuna_self_deepseek,,3,82,90,80,0.3253968253968254,0.35714285714285715,0.31746031746031744,0.503968253968254,0.007936507936507964
PRISM_BPO_vs_BPO_vicuna_vicuna_deepseek,,1,28,27,25,0.35,0.3375,0.3125,0.51875,0.03749999999999998
PRISM_BPO_vs_BPO_vicuna_vicuna_deepseek,,2,31,24,25,0.3875,0.3,0.3125,0.5375,0.07500000000000001
PRISM_BPO_vs_BPO_vicuna_vicuna_deepseek,,3,31,25,24,0.3875,0.3125,0.3,0.54375,0.08750000000000002
PRISM_BPO_vs_MePO_gemma_bpo_deepseek,,1,77,58,65,0.385,0.29,0.325,0.53,0.06
PRISM_BPO_vs_MePO_gemma_bpo_deepseek,,2,79,56,65,0.395,0.28,0.325,0.535,0.07
PRISM_BPO_vs_MePO_gemma_bpo_deepseek,,3,78,57,65,0.39,0.285,0.325,0.5325,0.065
PRISM_BPO_vs_MePO_gemma_dolly_deepseek,,1,87,51,62,0.435,0.255,0.31,0.5625,0.125
PRISM_BPO_vs_MePO_gemma_dolly_deepseek,,2,85,56,59,0.425,0.28,0.295,0.565,0.13
PRISM_BPO_vs_MePO_gemma_dolly_deepseek,,3,87,52,61,0.435,0.26,0.305,0.565,0.13
PRISM_BPO_vs_MePO_gemma_self_deepseek,,1,107,58,87,0.4246031746031746,0.23015873015873015,0.34523809523809523,0.5396825396825397,0.07936507936507936
PRISM_BPO_vs_MePO_gemma_self_deepseek,,2,108,60,84,0.42857142857142855,0.23809523809523808,0.3333333333333333,0.5476190476190476,0.09523809523809523
PRISM_BPO_vs_MePO_gemma_self_deepseek,,3,109,58,85,0.43253968253968256,0.23015873015873015,0.3373015873015873,0.5476190476190477,0.09523809523809523
PRISM_BPO_vs_MePO_gemma_vicuna_deepseek,,1,32,35,13,0.4,0.4375,0.1625,0.61875,0.23750000000000002
PRISM_BPO_vs_MePO_gemma_vicuna_deepseek,,2,35,33,12,0.4375,0.4125,0.15,0.64375,0.2875
PRISM_BPO_vs_MePO_gemma_vicuna_deepseek,,3,35,31,14,0.4375,0.3875,0.175,0.63125,0.2625
PRISM_BPO_vs_MePO_llama_bpo_deepseek,,1,91,33,76,0.455,0.165,0.38,0.5375,0.07500000000000001
PRISM_BPO_vs_MePO_llama_bpo_deepseek,,2,99,31,70,0.495,0.155,0.35,0.5725,0.14500000000000002
PRISM_BPO_vs_MePO_llama_bpo_deepseek,,3,95,29,76,0.475,0.145,0.38,0.5475,0.09499999999999997
PRISM_BPO_vs_MePO_llama_dolly_deepseek,,1,91,46,63,0.455,0.23,0.315,0.5700000000000001,0.14
PRISM_BPO_vs_MePO_llama_dolly_deepseek,,2,89,48,63,0.445,0.24,0.315,0.565,0.13
PRISM_BPO_vs_MePO_llama_dolly_deepseek,,3,90,45,65,0.45,0.225,0.325,0.5625,0.125
PRISM_BPO_vs_MePO_llama_self_deepseek,,1,109,46,97,0.43253968253968256,0.18253968253968253,0.38492063492063494,0.5238095238095238,0.047619047619047616
PRISM_BPO_vs_MePO_llama_self_deepseek,,2,111,44,97,0.44047619047619047,0.1746031746031746,0.38492063492063494,0.5277777777777778,0.055555555555555525
PRISM_BPO_vs_MePO_llama_self_deepseek,,3,111,47,94,0.44047619047619047,0.1865079365079365,0.373015873015873,0.5337301587301587,0.06746031746031744
PRISM_BPO_vs_MePO_llama_vicuna_deepseek,,1,38,17,25,0.475,0.2125,0.3125,0.5812499999999999,0.16249999999999998
PRISM_BPO_vs_MePO_llama_vicuna_deepseek,,2,37,18,25,0.4625,0.225,0.3125,0.5750000000000001,0.15000000000000002
PRISM_BPO_vs_MePO_llama_vicuna_deepseek,,3,37,18,25,0.4625,0.225,0.3125,0.5750000000000001,0.15000000000000002
PRISM_BPO_vs_MePO_vicuna_bpo_deepseek,,1,83,28,89,0.415,0.14,0.445,0.485,-0.030000000000000027
PRISM_BPO_vs_MePO_vicuna_bpo_deepseek,,2,83,30,87,0.415,0.15,0.435,0.49,-0.020000000000000018
PRISM_BPO_vs_MePO_vicuna_bpo_deepseek,,3,80,32,88,0.4,0.16,0.44,0.48000000000000004,-0.03999999999999998
PRISM_BPO_vs_MePO_vicuna_dolly_deepseek,,1,95,43,62,0.475,0.215,0.31,0.5825,0.16499999999999998
PRISM_BPO_vs_MePO_vicuna_dolly_deepseek,,2,99,38,63,0.495,0.19,0.315,0.59,0.18
PRISM_BPO_vs_MePO_vicuna_dolly_deepseek,,3,100,38,62,0.5,0.19,0.31,0.595,0.19
PRISM_BPO_vs_MePO_vicuna_self_deepseek,,1,98,52,102,0.3888888888888889,0.20634920634920634,0.40476190476190477,0.4920634920634921,-0.015873015873015872
PRISM_BPO_vs_MePO_vicuna_self_deepseek,,2,98,55,99,0.3888888888888889,0.21825396825396826,0.39285714285714285,0.498015873015873,-0.003968253968253954
PRISM_BPO_vs_MePO_vicuna_self_deepseek,,3,102,53,97,0.40476190476190477,0.21031746031746032,0.38492063492063494,0.5099206349206349,0.019841269841269826
PRISM_BPO_vs_MePO_vicuna_vicuna_deepseek,,1,35,12,33,0.4375,0.15,0.4125,0.5125,0.025000000000000022
PRISM_BPO_vs_MePO_vicuna_vicuna_deepseek,,2,34,9,37,0.425,0.1125,0.4625,0.48125,-0.03750000000000003
PRISM_BPO_vs_MePO_vicuna_vicuna_deepseek,,3,33,9,38,0.4125,0.1125,0.475,0.46875,-0.0625
PRISM_MePO_vs_MePO_gemma_bpo_deepseek,,1,89,50,61,0.445,0.25,0.305,0.5700000000000001,0.14
PRISM_MePO_vs_MePO_gemma_bpo_deepseek,,2,83,60,57,0.415,0.3,0.285,0.565,0.13
PRISM_MePO_vs_MePO_gemma_bpo_deepseek,,3,87,51,62,0.435,0.255,0.31,0.5625,0.125
PRISM_MePO_vs_MePO_gemma_dolly_deepseek,,1,77,44,79,0.385,0.22,0.395,0.495,-0.010000000000000009
PRISM_MePO_vs_MePO_gemma_dolly_deepseek,,2,82,41,77,0.41,0.205,0.385,0.5125,0.024999999999999967
PRISM_MePO_vs_MePO_gemma_dolly_deepseek,,3,79,45,76,0.395,0.225,0.38,0.5075000000000001,0.015000000000000013
