comparison,num_prompts,num_optimizer_seeds,num_judge_runs,win_ratio_mean,tie_ratio_mean,loss_ratio_mean,pref_mean,pref_judge_std,pref_seed_std,pref_all_run_std,pref_ci_lower,pref_ci_upper,delta_wr_mean,delta_wr_judge_std,delta_wr_seed_std,delta_wr_all_run_std,delta_wr_ci_lower,delta_wr_ci_upper,permutation_p_value,mcnemar_exact_p_value,majority_win_count,majority_loss_count,method_loss_rate,unstable_case_rate,permutation_p_value_holm
PRISM_BPO_vs_BPO_gemma_bpo_deepseek,200,0,3,0.33666666666666667,0.455,0.20833333333333334,0.5641666666666667,0.005204164998665283,0.0,0.005204164998665283,0.5267708333333334,0.6058333333333333,0.12833333333333333,0.010408329997330646,0.0,0.010408329997330646,0.05408333333333334,0.21758333333333335,0.0196078431372549,0.026423520277147814,66,42,0.21,0.09,0.7058823529411764
PRISM_BPO_vs_BPO_gemma_dolly_deepseek,200,0,3,0.295,0.49499999999999994,0.21,0.5425,0.004330127018922165,0.0,0.004330127018922165,0.5001041666666667,0.582125,0.08500000000000002,0.008660254037844393,0.0,0.008660254037844393,-0.027583333333333328,0.14629166666666665,0.13725490196078433,0.11446824201255824,60,43,0.215,0.08,1.0
PRISM_BPO_vs_BPO_gemma_self_deepseek,252,0,3,0.3386243386243386,0.4338624338624339,0.22751322751322753,0.5555555555555556,0.001984126984126977,0.0,0.001984126984126977,0.5132275132275131,0.5963293650793651,0.1111111111111111,0.003968253968253982,0.0,0.003968253968253982,0.03792989417989418,0.17238756613756617,0.0392156862745098,0.03553746207714312,84,58,0.23015873015873015,0.12698412698412698,1.0
PRISM_BPO_vs_BPO_gemma_vicuna_deepseek,80,0,3,0.31666666666666665,0.5375000000000001,0.14583333333333334,0.5854166666666666,0.009547032697824693,0.0,0.009547032697824693,0.5164583333333334,0.6365624999999999,0.17083333333333334,0.019094065395649337,0.0,0.019094065395649337,0.05375,0.2883333333333333,0.0196078431372549,0.04703102743951604,25,12,0.15,0.1625,0.7058823529411764
PRISM_BPO_vs_BPO_llama_bpo_deepseek,200,0,3,0.34166666666666673,0.3633333333333333,0.295,0.5233333333333333,0.005204164998665283,0.0,0.005204164998665283,0.4717708333333333,0.5711041666666666,0.04666666666666666,0.010408329997330651,0.0,0.010408329997330651,-0.04604166666666666,0.15925,0.45098039215686275,0.5946154859354933,67,60,0.3,0.11,1.0
PRISM_BPO_vs_BPO_llama_dolly_deepseek,200,0,3,0.30666666666666664,0.4366666666666667,0.25666666666666665,0.525,0.007500000000000007,0.0,0.007500000000000007,0.48695833333333327,0.582125,0.05000000000000001,0.015000000000000013,0.0,0.015000000000000013,-0.038458333333333324,0.13258333333333333,0.3333333333333333,0.4518532686657422,61,52,0.26,0.14,1.0
PRISM_BPO_vs_BPO_llama_self_deepseek,252,0,3,0.3875661375661375,0.3280423280423281,0.28439153439153436,0.5515873015873016,0.005249506569572582,0.0,0.005249506569572582,0.5168485449735449,0.6057374338624338,0.10317460317460317,0.010499013139145195,0.0,0.010499013139145195,0.017096560846560842,0.1984126984126984,0.058823529411764705,0.021506542463250306,101,70,0.2777777777777778,0.10714285714285714,1.0
PRISM_BPO_vs_BPO_llama_vicuna_deepseek,80,0,3,0.3125,0.37083333333333335,0.31666666666666665,0.4979166666666666,0.0036084391824351483,0.0,0.0036084391824351483,0.4063020833333333,0.5772916666666666,-0.004166666666666685,0.00721687836487033,0.0,0.00721687836487033,-0.17760416666666665,0.12260416666666665,1.0,1.0,25,25,0.3125,0.075,1.0
PRISM_BPO_vs_BPO_vicuna_bpo_deepseek,200,0,3,0.3516666666666666,0.3316666666666667,0.31666666666666665,0.5175,0.006614378277661461,0.0,0.006614378277661461,0.46472916666666664,0.5868333333333333,0.034999999999999996,0.013228756555322933,0.0,0.013228756555322933,-0.02500000000000001,0.13933333333333328,0.6470588235294118,0.43353726974233275,71,61,0.305,0.09,1.0
PRISM_BPO_vs_BPO_vicuna_dolly_deepseek,200,0,3,0.3433333333333333,0.45333333333333337,0.20333333333333334,0.57,0.004330127018922165,0.0,0.004330127018922165,0.5360208333333334,0.6059166666666667,0.14,0.008660254037844362,0.0,0.008660254037844362,0.05929166666666668,0.2421666666666666,0.0196078431372549,0.0038541081873813185,70,39,0.195,0.105,0.7058823529411764
PRISM_BPO_vs_BPO_vicuna_self_deepseek,252,0,3,0.3214285714285714,0.3703703703703704,0.3082010582010582,0.5066137566137566,0.010181748887791463,0.0,0.010181748887791463,0.4647486772486772,0.5581018518518519,0.013227513227513237,0.020363497775582856,0.0,0.020363497775582856,-0.07199074074074073,0.10168650793650794,0.8235294117647058,1.0,80,80,0.31746031746031744,0.12698412698412698,1.0
PRISM_BPO_vs_BPO_vicuna_vicuna_deepseek,80,0,3,0.375,0.31666666666666665,0.30833333333333335,0.5333333333333333,0.013010412496663284,0.0,0.013010412496663284,0.4486458333333334,0.62328125,0.06666666666666668,0.026020824993326683,0.0,0.026020824993326683,-0.0953125,0.18552083333333325,0.5686274509803921,0.6834892282353375,29,25,0.3125,0.0875,1.0
PRISM_BPO_vs_MePO_gemma_bpo_deepseek,200,0,3,0.38999999999999996,0.285,0.325,0.5325,0.0025000000000000022,0.0,0.0025000000000000022,0.47945833333333326,0.5832291666666666,0.06499999999999999,0.0050000000000000044,0.0,0.0050000000000000044,-0.028125000000000004,0.16629166666666664,0.3137254901960784,0.2752499689715738,78,64,0.32,0.115,1.0
